"Provincia","pct_paredes_ladrillo","pct_techos_concreto","pct_pisos_precario","pct_pisos_buenos","indice_algebraico","indice_aritmetico"
"Ucayali, provincia: Coronel Portillo",25.7820316147536,7.95482336201338,92.1140976900331,7.88590230996688,-0.0626110105372725,-0.0588795113515051
"Apurímac, provincia: Andahuaylas",22.1242008227189,17.1432819547009,95.8318877930317,4.16811220696833,-0.0860681846136223,-0.0832833119021034
"Loreto, provincia: Alto Amazonas",34.3941073407945,4.93438695605535,94.768834698037,5.23116530196303,-0.10590370215932,-0.0992698126843696
"Puno, provincia: El Collao",28.8238046954216,16.3091802511505,98.5141564620544,1.48584353794556,-0.114752988593078,-0.110169724990275
"Madre de Dios prov. de Tahuamanu",33.2773673606447,3.42511752854265,94.0228341168569,5.97716588314306,-0.122088881914957,-0.114641192042556
"San Martín, provincia: Bellavista",34.96666895746,7.51151123634115,96.715002405333,3.28499759466703,-0.126285321137587,-0.119247313368526
"Pasco, provincia: Oxapampa",28.0982123626965,7.3831574413095,94.4992461770407,5.5007538229593,-0.139124959087886,-0.132091192833039
"San Martín, provincia: Huallaga",37.6212023270847,5.95992243051067,97.5048480930834,2.49515190691662,-0.151033894747513,-0.142543302789998
"Piura, provincia: Morropón",32.0999466002136,7.76299394802421,96.4711641153435,3.52883588465646,-0.153877962527515,-0.146015941081193
"San Martín, provincia: Picota",36.4430103445003,5.40001898073455,96.9630824712916,3.03691752870836,-0.157401033950396,-0.148653572643083
"Puno, provincia: Yunguyo",22.8845470692718,17.4351687388988,98.2380106571936,1.76198934280639,-0.169204888903104,-0.163126330652629
"Ayacucho, provincia: Huanta",20.0200360649168,15.7723903025446,96.4496092967341,3.55039070326588,-0.17113389245759,-0.164914133904492
"Amazonas, provincia: Bagua",23.734631147541,11.203893442623,96.5573770491803,3.44262295081967,-0.212769571577414,-0.20382575714462
"Áncash, provincia: Huaylas",15.9745969711773,12.3874659780864,95.3520831879405,4.64791681205946,-0.254501336696015,-0.244716316874785
"Junín, provincia: Junín",36.1938278289118,4.31781266919329,98.7547374120195,1.24526258798051,-0.257867035978291,-0.244981928042763
"Junín, provincia: Satipo",24.0869098925543,11.0325514885504,97.8788901908602,2.12110980913984,-0.266136597424999,-0.255027015038567
"Ucayali, provincia: Padre Abad",26.2561642009863,7.60362521658003,97.0678395308543,2.93216046914567,-0.269411628437972,-0.257410979230773
"Huánuco, provincia: Ambo",17.9499686433001,13.5879032820013,97.170928855132,2.82907114486795,-0.276520832995573,-0.265919841358069
"San Martín, provincia: Lamas",33.4481154025128,2.81060958585389,97.4918566775244,2.50814332247556,-0.2767977886201,-0.263117345969851
"Cusco, provincia: Urubamba",15.8098682510979,8.99638336347197,94.2973391888401,5.70266081115992,-0.281742321648179,-0.270307173290375
"Lima, provincia: Canta",21.2793733681462,10.6005221932115,97.2845953002611,2.7154046997389,-0.292084058525248,-0.280092649785961
"Lima, provincia: Oyón",18.8151041666667,11.328125,97.0052083333333,2.99479166666666,-0.302514112371205,-0.290427928823374
"Cusco, provincia: Espinar",17.8792785750181,13.6746887040036,98.213188899436,1.78681110056397,-0.319320482245584,-0.30704880143298
"Amazonas, provincia: Bongara",21.9211822660099,9.46907498631637,97.6464148877942,2.35358511220581,-0.320543695789786,-0.307182152399227
"Áncash, provincia: Carhuaz",14.7119895408752,11.8664923479197,96.8007382911636,3.19926170883642,-0.344419940391391,-0.331089876645278
"Ayacucho, provincia: La Mar",18.5132898451952,11.5616785123162,98.2815694674326,1.71843053256742,-0.355563734279489,-0.341445189435491
"Cajamarca, provincia: Chota",17.68354045262,9.07580331858925,96.9458681457558,3.05413185424419,-0.362657542039748,-0.347893216451717
"Moquegua, provincia: General Sánchez Cerro",19.9260212286909,10.0353811514957,98.4882598906401,1.51174010935992,-0.374030144714163,-0.358808132695829
"Amazonas, provincia: Utcubamba",15.6507631692216,8.59186173558918,96.7155580571466,3.28444194285336,-0.39326399979314,-0.377364561314793
"Cusco, provincia: La Convención",16.9528262828475,9.36168140084265,97.6814982586883,2.31850174131171,-0.39849010785894,-0.382416121514333
"Arequipa, provincia: Condesuyos",17.1058048579662,10.1893783449979,98.5384932070811,1.4615067929189,-0.415179517834976,-0.398577333419792
"Cajamarca, provincia: Hualgayoc",15.147886480661,9.98682792479943,97.8525525885124,2.14744741148765,-0.419939569266726,-0.403266423711665
"Amazonas, provincia: Rodríguez de Mendoza",17.3629829290207,5.39083557951483,96.9564240790656,3.04357592093442,-0.442656551963252,-0.424118686998971
"Cusco, provincia: Canchis",13.6470501800015,8.76129601057968,97.3550804496363,2.64491955036368,-0.446485674288977,-0.42866825077833
"Cajamarca, provincia: San Marcos",13.1856829402084,11.0052111903456,98.292649478881,1.70735052111904,-0.446992225408387,-0.429578751506943
"San Martín, provincia: El Dorado",26.4965652600589,1.84276523825101,99.094973285356,0.905026714643981,-0.467309802633762,-0.446474280202042
"Puno, provincia: Chucuito",16.2312550427065,9.65973903124391,99.3100186406254,0.689981359374571,-0.471207481870808,-0.452367757523505
"Puno, provincia: Melgar",13.1939783296577,10.4564195991946,98.624029149487,1.375970850513,-0.471834179457909,-0.453343531639401
"Puno, provincia: San Antonio de Putina",16.0048721071864,8.18514007308161,98.9849776695087,1.01502233049126,-0.49094427281289,-0.471087210603644
"Huancavelica, provincia: Angaraes",11.7226078866385,10.1266728691047,98.4398482788234,1.56015172117655,-0.492841582692681,-0.473578160195035
"La Lbertad, provincia: Sánchez Carrión",11.8326277011052,10.3233078572607,98.6061472480343,1.39385275196568,-0.494147884450452,-0.474858304380765
"Cajamarca, provincia: Cutervo",12.1876836126577,8.15589938725833,98.3044682577432,1.69553174225679,-0.520220635864895,-0.499498341384372
"Cusco, provincia: Anta",11.605590262124,6.31802666323179,98.2739743672313,1.72602563276872,-0.564941845745039,-0.542179786565692
"Puno, provincia: Azángaro",10.633672401299,8.3657639764889,99.5383665691511,0.46163343084892,-0.590705464938535,-0.567355089678472
"Apurímac, provincia: Cotabambas",10.4748122114258,4.94107918131073,97.8567982909517,2.1432017090483,-0.592377205323582,-0.568380781540962
"Cajamarca, provincia: Cajabamba",9.36662364737417,7.17263972997121,98.5605082894867,1.43949171051325,-0.593046689876753,-0.569495909076133
"Áncash, provincia: Yungay",8.83877293738619,6.83569127328758,98.3891301302703,1.61086986972965,-0.600623986038869,-0.576756538063798
"Cusco, provincia: Calca",8.77125405821824,4.79832718868651,97.52930171133,2.47069828867001,-0.607081196548281,-0.582611459825701
"Áncash, provincia: Recuay",8.79228953579858,6.70731707317073,98.6821400472069,1.31785995279307,-0.616153786784691,-0.591654100101319
"Cusco, provincia: Quispicanchi",8.72167048637637,4.93166963755199,97.8227654698243,2.17723453017571,-0.617366329841786,-0.592517100909039
"Apurímac, provincia: Aymaraes",9.19352961713022,5.05062259979053,98.6500640055859,1.34993599441405,-0.642427004744394,-0.616571426749009
"Ucayali, provincia: Atalaya",11.262263995383,2.51463434743177,98.2191441998516,1.7808558001484,-0.644954914225519,-0.618400046816999
